rank,name,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,number_students,student_staff_ratio,intl_students,year,overall_score_n,teaching_score_n,research_score_n,citations_score_n,industry_income_score_n,international_outlook_score_n,number_students_n,student_staff_ratio_n,intl_students_n
1.0,California Institute of Technology,94.3,92.2,98.1,99.7,89.1,67.0,2243.0,0.07,0.27,2015,1.0,0.99,0.99,1.0,0.89,0.68,0.02,0.1,0.43
2.0,Harvard University,93.3,92.9,98.6,98.9,44.0,67.6,20152.0,0.09,0.25,2015,0.99,1.0,1.0,0.99,0.44,0.68,0.17,0.12,0.4
3.0,University of Oxford,93.2,88.6,97.7,95.5,72.9,90.7,19919.0,0.12,0.34,2015,0.99,0.95,0.99,0.96,0.73,0.92,0.16,0.17,0.54
4.0,Stanford University,92.9,91.5,96.7,99.1,63.1,69.0,15596.0,0.08,0.22,2015,0.99,0.98,0.98,0.99,0.63,0.7,0.13,0.11,0.35
5.0,University of Cambridge,92.0,89.7,95.6,95.2,51.1,87.8,18812.0,0.12,0.34,2015,0.98,0.97,0.97,0.95,0.51,0.89,0.16,0.17,0.54
6.0,Massachusetts Institute of Technology,91.9,89.1,88.2,100.0,95.7,84.3,11074.0,0.09,0.33,2015,0.97,0.96,0.89,1.0,0.96,0.85,0.09,0.12,0.52
7.0,Princeton University,90.9,86.6,94.7,99.6,82.7,61.2,7929.0,0.08,0.27,2015,0.96,0.93,0.96,1.0,0.83,0.62,0.07,0.11,0.43
8.0,"University of California, Berkeley",89.5,84.2,96.7,99.1,44.8,58.5,36186.0,0.16,0.15,2015,0.95,0.91,0.98,0.99,0.45,0.59,0.3,0.22,0.24
9.0,Imperial College London,87.5,84.6,88.3,89.4,72.7,92.7,15060.0,0.12,0.51,2015,0.93,0.91,0.9,0.89,0.73,0.94,0.12,0.17,0.81
10.0,Yale University,87.5,88.5,90.8,94.0,42.0,59.8,11751.0,0.04,0.2,2015,0.93,0.95,0.92,0.94,0.42,0.61,0.1,0.06,0.32
11.0,University of Chicago,87.1,83.9,89.9,97.3,36.8,65.2,14221.0,0.07,0.21,2015,0.92,0.9,0.91,0.97,0.37,0.66,0.12,0.1,0.33
12.0,"University of California, Los Angeles",85.5,82.4,90.5,95.3,51.19,49.2,38206.0,0.1,0.15,2015,0.91,0.89,0.92,0.95,0.51,0.5,0.32,0.14,0.24
13.0,ETH Zurich – Swiss Federal Institute of Technology Zurich,84.6,78.2,90.2,83.5,73.2,96.6,18178.0,0.15,0.37,2015,0.9,0.84,0.91,0.84,0.73,0.98,0.15,0.21,0.59
14.0,Columbia University,84.4,83.9,79.4,95.3,51.19,68.3,25055.0,0.06,0.28,2015,0.9,0.9,0.81,0.95,0.51,0.69,0.21,0.08,0.44
15.0,Johns Hopkins University,83.0,75.6,84.2,93.6,100.0,59.7,15128.0,0.04,0.23,2015,0.88,0.81,0.85,0.94,1.0,0.6,0.13,0.06,0.37
16.0,University of Pennsylvania,81.0,79.0,82.0,94.4,43.0,43.8,20376.0,0.06,0.2,2015,0.86,0.85,0.83,0.94,0.43,0.44,0.17,0.08,0.32
17.0,University of Michigan,80.9,77.0,86.5,88.9,55.7,49.8,41786.0,0.09,0.16,2015,0.86,0.83,0.88,0.89,0.56,0.5,0.35,0.12,0.25
18.0,Duke University,79.9,73.5,75.2,96.6,100.0,50.5,15172.0,0.05,0.17,2015,0.85,0.79,0.76,0.97,1.0,0.51,0.13,0.07,0.27
19.0,Cornell University,79.4,71.6,83.8,91.5,33.7,59.0,21424.0,0.1,0.19,2015,0.84,0.77,0.85,0.92,0.34,0.6,0.18,0.14,0.3
20.0,University of Toronto,79.3,74.4,85.1,83.0,46.1,71.2,66198.0,0.2,0.15,2015,0.84,0.8,0.86,0.83,0.46,0.72,0.55,0.28,0.24
21.0,Northwestern University,79.2,72.7,78.9,96.9,77.0,36.7,18334.0,0.14,0.15,2015,0.84,0.78,0.8,0.97,0.77,0.37,0.15,0.19,0.24
22.0,University College London,78.7,70.4,80.4,85.1,46.2,90.6,26607.0,0.11,0.46,2015,0.83,0.76,0.82,0.85,0.46,0.92,0.22,0.15,0.73
23.0,University of Tokyo,76.1,81.4,85.1,74.7,51.2,32.4,26199.0,0.06,0.1,2015,0.81,0.88,0.86,0.75,0.51,0.33,0.22,0.08,0.16
24.0,Carnegie Mellon University,74.3,61.6,74.9,92.0,53.0,59.3,11885.0,0.13,0.35,2015,0.79,0.66,0.76,0.92,0.53,0.6,0.1,0.18,0.56
25.0,National University of Singapore,73.3,72.0,78.1,66.0,53.4,94.9,31592.0,0.16,0.34,2015,0.78,0.78,0.79,0.66,0.53,0.96,0.26,0.22,0.54
26.0,University of Washington,73.2,64.5,68.9,95.0,44.7,47.9,44020.0,0.12,0.13,2015,0.78,0.69,0.7,0.95,0.45,0.48,0.36,0.17,0.21
27.0,Georgia Institute of Technology,72.8,62.5,71.2,85.8,72.3,68.9,19967.0,0.2,0.26,2015,0.77,0.67,0.72,0.86,0.72,0.7,0.17,0.28,0.41
28.0,University of Texas at Austin,72.3,64.3,72.0,91.5,58.1,33.1,49427.0,0.17,0.09,2015,0.77,0.69,0.73,0.92,0.58,0.34,0.41,0.24,0.14
29.0,LMU Munich,71.9,65.1,69.1,83.0,100.0,56.4,35691.0,0.16,0.13,2015,0.76,0.7,0.7,0.83,1.0,0.57,0.3,0.22,0.21
30.0,University of Illinois at Urbana-Champaign,71.9,67.7,79.0,77.8,51.7,43.9,42727.0,0.19,0.2,2015,0.76,0.73,0.8,0.78,0.52,0.44,0.35,0.26,0.32
31.0,University of Wisconsin-Madison,71.9,67.7,71.3,87.7,53.3,33.6,39655.0,0.11,0.11,2015,0.76,0.73,0.72,0.88,0.53,0.34,0.33,0.15,0.17
32.0,University of British Columbia,71.8,60.5,69.0,85.3,40.1,84.8,50152.0,0.18,0.25,2015,0.76,0.65,0.7,0.85,0.4,0.86,0.41,0.25,0.4
33.0,University of Melbourne,71.2,60.4,70.9,80.6,61.2,81.3,40128.0,0.24,0.35,2015,0.76,0.65,0.72,0.81,0.61,0.82,0.33,0.33,0.56
34.0,London School of Economics and Political Science,70.9,65.4,74.2,71.3,40.6,87.4,23638.58,0.19,0.16,2015,0.75,0.7,0.75,0.71,0.41,0.88,0.2,0.26,0.25
35.0,École Polytechnique Fédérale de Lausanne,70.9,54.7,56.9,95.0,61.9,98.8,9666.0,0.1,0.54,2015,0.75,0.59,0.58,0.95,0.62,1.0,0.08,0.14,0.86
36.0,University of Edinburgh,70.4,58.9,62.9,88.3,41.2,84.3,25774.0,0.14,0.36,2015,0.75,0.63,0.64,0.88,0.41,0.85,0.21,0.19,0.57
37.0,"University of California, Santa Barbara",70.0,49.4,61.4,99.2,87.1,64.3,22020.0,0.27,0.11,2015,0.74,0.53,0.62,0.99,0.87,0.65,0.18,0.38,0.17
38.0,New York University,69.9,68.3,62.4,89.5,30.2,41.2,42056.0,0.07,0.19,2015,0.74,0.74,0.63,0.9,0.3,0.42,0.35,0.1,0.3
39.0,McGill University,69.6,63.3,69.9,76.0,38.6,79.0,31326.0,0.14,0.23,2015,0.74,0.68,0.71,0.76,0.39,0.8,0.26,0.19,0.37
40.0,King’s College London,69.4,55.6,62.3,88.3,39.0,87.0,21394.0,0.11,0.37,2015,0.74,0.6,0.63,0.88,0.39,0.88,0.18,0.15,0.59
41.0,"University of California, San Diego",68.6,52.0,66.6,96.4,54.2,37.0,27233.0,0.06,0.11,2015,0.73,0.56,0.68,0.96,0.54,0.37,0.23,0.08,0.17
42.0,Washington University in St Louis,67.8,57.6,55.2,97.1,51.19,46.5,12528.0,0.06,0.17,2015,0.72,0.62,0.56,0.97,0.51,0.47,0.1,0.08,0.27
43.0,University of Hong Kong,67.5,62.1,72.6,65.1,56.0,81.9,19835.0,0.18,0.38,2015,0.72,0.67,0.74,0.65,0.56,0.83,0.16,0.25,0.6
44.0,Karolinska Institute,66.8,57.1,68.0,76.8,65.5,60.6,7774.0,0.12,0.22,2015,0.71,0.61,0.69,0.77,0.66,0.61,0.06,0.17,0.35
45.0,Australian National University,66.5,53.7,70.9,71.1,38.9,91.3,14604.0,0.19,0.35,2015,0.71,0.58,0.72,0.71,0.39,0.92,0.12,0.26,0.56
46.0,University of Minnesota,65.9,59.9,64.7,82.9,51.19,33.8,46825.0,0.18,0.13,2015,0.7,0.64,0.66,0.83,0.51,0.34,0.39,0.25,0.21
47.0,University of North Carolina at Chapel Hill,65.9,57.9,58.6,91.0,40.5,35.3,26518.0,0.07,0.08,2015,0.7,0.62,0.59,0.91,0.4,0.36,0.22,0.1,0.13
48.0,Peking University,65.2,70.0,61.9,63.7,100.0,53.7,40148.0,0.08,0.14,2015,0.69,0.75,0.63,0.64,1.0,0.54,0.33,0.11,0.22
49.0,Tsinghua University,65.1,64.1,68.3,65.0,99.7,44.6,39763.0,0.14,0.1,2015,0.69,0.69,0.69,0.65,1.0,0.45,0.33,0.19,0.16
50.0,Seoul National University,64.8,75.5,77.1,48.7,86.3,30.3,26389.0,0.14,0.1,2015,0.69,0.81,0.78,0.49,0.86,0.31,0.22,0.19,0.16
51.0,Hong Kong University of Science and Technology,64.7,51.8,66.8,72.9,57.6,77.8,11385.0,0.24,0.36,2015,0.69,0.56,0.68,0.73,0.58,0.79,0.09,0.33,0.57
52.0,Korea Advanced Institute of Science and Technology (KAIST),64.5,63.5,63.2,71.4,100.0,34.9,9027.0,0.1,0.09,2015,0.68,0.68,0.64,0.71,1.0,0.35,0.07,0.14,0.14
53.0,University of Manchester,64.5,58.1,58.7,74.3,39.4,82.0,34938.0,0.15,0.34,2015,0.68,0.63,0.6,0.74,0.39,0.83,0.29,0.21,0.54
54.0,Brown University,64.1,55.5,54.2,92.0,32.7,37.0,8653.0,0.1,0.19,2015,0.68,0.6,0.55,0.92,0.33,0.37,0.07,0.14,0.3
55.0,KU Leuven,63.7,53.0,63.6,71.8,99.9,62.3,42503.0,0.42,0.18,2015,0.68,0.57,0.65,0.72,1.0,0.63,0.35,0.58,0.29
56.0,"University of California, Davis",63.7,54.4,59.7,80.4,55.4,52.9,35364.0,0.14,0.13,2015,0.68,0.59,0.61,0.8,0.55,0.54,0.29,0.19,0.21
57.0,Boston University,63.6,56.4,46.7,94.4,30.3,47.8,24789.0,0.09,0.17,2015,0.67,0.61,0.47,0.94,0.3,0.48,0.2,0.12,0.27
58.0,Pennsylvania State University,62.9,54.6,64.8,76.0,60.4,37.4,44501.0,0.12,0.12,2015,0.67,0.59,0.66,0.76,0.6,0.38,0.37,0.17,0.19
59.0,Kyoto University,62.8,70.4,68.4,57.0,73.3,29.0,22809.0,0.06,0.07,2015,0.67,0.76,0.69,0.57,0.73,0.29,0.19,0.08,0.11
60.0,University of Sydney,62.7,52.8,60.8,69.0,67.3,83.6,41868.0,0.2,0.28,2015,0.66,0.57,0.62,0.69,0.67,0.85,0.35,0.28,0.44
61.0,Nanyang Technological University,62.2,43.9,55.9,75.9,100.0,92.5,25028.0,0.16,0.33,2015,0.66,0.47,0.57,0.76,1.0,0.94,0.21,0.22,0.52
62.0,École Polytechnique,62.2,50.5,47.1,79.9,76.8,94.5,2429.0,0.05,0.3,2015,0.66,0.54,0.48,0.8,0.77,0.96,0.02,0.07,0.48
63.0,Scuola Normale Superiore di Pisa,61.9,48.2,46.0,96.4,40.1,50.1,462.0,0.16,0.05,2015,0.66,0.52,0.47,0.96,0.4,0.51,0.0,0.22,0.08
64.0,Leiden University,61.3,45.0,58.2,82.3,47.3,59.5,21222.0,0.17,0.1,2015,0.65,0.48,0.59,0.82,0.47,0.6,0.18,0.24,0.16
65.0,The University of Queensland,61.2,45.8,58.4,74.2,66.2,80.4,34718.0,0.33,0.27,2015,0.65,0.49,0.59,0.74,0.66,0.81,0.29,0.46,0.43
66.0,Pohang University of Science and Technology,61.1,52.7,49.3,84.4,100.0,36.0,3055.0,0.1,0.04,2015,0.65,0.57,0.5,0.84,1.0,0.36,0.03,0.14,0.06
67.0,University of Göttingen,61.0,46.9,48.0,92.3,32.8,53.9,25581.0,0.26,0.12,2015,0.65,0.5,0.49,0.92,0.33,0.55,0.21,0.36,0.19
68.0,Ohio State University,60.7,54.0,51.1,80.4,46.8,51.5,51462.0,0.13,0.12,2015,0.64,0.58,0.52,0.8,0.47,0.52,0.43,0.18,0.19
69.0,Rice University,59.8,41.7,37.1,99.9,34.6,70.8,6333.0,0.09,0.26,2015,0.63,0.45,0.38,1.0,0.35,0.72,0.05,0.12,0.41
70.0,Heidelberg University,59.6,52.6,45.4,81.4,41.6,63.1,28881.0,0.24,0.17,2015,0.63,0.57,0.46,0.81,0.42,0.64,0.24,0.33,0.27
71.0,Delft University of Technology,59.2,55.5,71.4,42.6,100.0,77.9,15920.0,0.19,0.25,2015,0.63,0.6,0.72,0.43,1.0,0.79,0.13,0.26,0.4
72.0,Erasmus University Rotterdam,59.1,39.8,53.7,82.3,54.4,66.2,20580.0,0.19,0.18,2015,0.63,0.43,0.54,0.82,0.54,0.67,0.17,0.26,0.29
73.0,Wageningen University and Research Center,59.0,44.3,46.8,77.5,100.0,78.7,9248.0,0.17,0.21,2015,0.63,0.48,0.47,0.78,1.0,0.8,0.08,0.24,0.33
74.0,University of Bristol,58.9,43.7,44.7,85.1,42.1,76.6,17906.0,0.14,0.25,2015,0.62,0.47,0.45,0.85,0.42,0.78,0.15,0.19,0.4
75.0,University of Basel,58.4,41.2,41.1,81.4,97.7,91.2,12551.0,0.17,0.24,2015,0.62,0.44,0.42,0.81,0.98,0.92,0.1,0.24,0.38
76.0,University of Southern California,58.4,55.2,44.6,81.3,34.4,42.7,36534.0,0.13,0.2,2015,0.62,0.59,0.45,0.81,0.34,0.43,0.3,0.18,0.32
77.0,University of Amsterdam,58.2,42.0,55.4,76.6,56.7,60.5,24570.0,0.14,0.11,2015,0.62,0.45,0.56,0.77,0.57,0.61,0.2,0.19,0.17
78.0,École Normale Supérieure,58.1,48.7,36.2,84.8,39.4,81.9,2400.0,0.08,0.2,2015,0.62,0.52,0.37,0.85,0.39,0.83,0.02,0.11,0.32
79.0,Utrecht University,58.0,38.2,54.8,80.0,84.1,52.9,30779.0,0.15,0.07,2015,0.62,0.41,0.56,0.8,0.84,0.54,0.25,0.21,0.11
80.0,Humboldt University of Berlin,57.9,51.9,52.6,71.9,31.9,55.7,29987.0,0.52,0.16,2015,0.61,0.56,0.53,0.72,0.32,0.56,0.25,0.72,0.25
81.0,Free University of Berlin,57.6,49.4,58.0,67.6,33.5,56.6,33062.0,0.39,0.2,2015,0.61,0.53,0.59,0.68,0.34,0.57,0.27,0.54,0.32
82.0,Michigan State University,57.3,51.1,49.4,74.0,31.7,55.0,44750.0,0.16,0.15,2015,0.61,0.55,0.5,0.74,0.32,0.56,0.37,0.22,0.24
83.0,Durham University,56.9,37.2,40.7,88.9,34.8,80.4,15489.0,0.16,0.24,2015,0.6,0.4,0.41,0.89,0.35,0.81,0.13,0.22,0.38
84.0,Monash University,56.9,43.7,54.4,65.7,73.4,79.6,50882.0,0.4,0.36,2015,0.6,0.47,0.55,0.66,0.73,0.81,0.42,0.56,0.57
85.0,Middle East Technical University,56.6,45.5,36.9,92.0,55.2,38.7,25779.0,0.22,0.07,2015,0.6,0.49,0.37,0.92,0.55,0.39,0.21,0.31,0.11
86.0,University of Arizona,56.5,44.9,51.4,74.0,99.6,38.8,36429.0,0.13,0.08,2015,0.6,0.48,0.52,0.74,1.0,0.39,0.3,0.18,0.13
87.0,University of Notre Dame,56.5,43.3,38.5,90.0,51.19,51.4,11829.0,0.14,0.1,2015,0.6,0.47,0.39,0.9,0.51,0.52,0.1,0.19,0.16
88.0,Tufts University,56.4,43.6,33.9,92.9,58.7,51.1,10410.0,0.1,0.14,2015,0.6,0.47,0.34,0.93,0.59,0.52,0.09,0.14,0.22
89.0,"University of California, Irvine",56.4,39.5,41.7,89.5,40.0,56.1,26614.0,0.16,0.16,2015,0.6,0.43,0.42,0.9,0.4,0.57,0.22,0.22,0.25
90.0,Ghent University,56.2,42.5,51.6,73.8,85.3,49.1,32166.0,0.34,0.09,2015,0.6,0.46,0.52,0.74,0.85,0.5,0.27,0.47,0.14
91.0,University of Massachusetts,56.1,44.8,49.1,78.7,52.8,40.3,56959.0,0.13,0.11,2015,0.59,0.48,0.5,0.79,0.53,0.41,0.47,0.18,0.17
92.0,University of Pittsburgh,56.1,45.2,46.3,84.4,38.5,32.2,26485.0,0.06,0.1,2015,0.59,0.49,0.47,0.84,0.38,0.33,0.22,0.08,0.16
93.0,Emory University,55.5,49.0,32.4,89.5,42.3,42.9,12338.0,0.04,0.18,2015,0.59,0.53,0.33,0.9,0.42,0.43,0.1,0.06,0.29
94.0,McMaster University,55.3,38.1,43.2,78.8,85.0,69.4,23823.0,0.19,0.15,2015,0.59,0.41,0.44,0.79,0.85,0.7,0.2,0.26,0.24
95.0,University of Glasgow,55.3,37.0,40.5,83.7,39.9,78.8,22616.0,0.16,0.29,2015,0.59,0.4,0.41,0.84,0.4,0.8,0.19,0.22,0.46
96.0,Vanderbilt University,55.2,46.0,38.2,87.7,59.4,28.3,12161.0,0.04,0.1,2015,0.59,0.5,0.39,0.88,0.59,0.29,0.1,0.06,0.16
97.0,University of Colorado Boulder,55.1,35.0,38.3,97.4,51.19,39.1,29325.0,0.16,0.08,2015,0.58,0.38,0.39,0.97,0.51,0.4,0.24,0.22,0.13
98.0,Stockholm University,54.6,30.1,45.0,90.9,32.4,53.2,31715.0,0.24,0.08,2015,0.58,0.32,0.46,0.91,0.32,0.54,0.26,0.33,0.13
99.0,Technical University of Munich,54.6,45.6,37.4,78.8,49.0,64.0,35565.0,0.32,0.2,2015,0.58,0.49,0.38,0.79,0.49,0.65,0.29,0.44,0.32
100.0,Uppsala University,54.6,40.2,53.0,70.9,39.6,57.5,25266.0,0.18,0.12,2015,0.58,0.43,0.54,0.71,0.4,0.58,0.21,0.25,0.19
101.0,Maastricht University,54.3,32.4,48.1,70.1,96.1,89.7,15626.0,0.19,0.48,2015,0.58,0.35,0.49,0.7,0.96,0.91,0.13,0.26,0.76
102.0,Purdue University,54.0,47.8,50.5,62.2,51.19,64.3,39256.0,0.18,0.22,2015,0.57,0.51,0.51,0.62,0.51,0.65,0.32,0.25,0.35
103.0,Pierre and Marie Curie University,53.9,47.3,30.0,83.3,33.4,64.7,27862.0,0.09,0.18,2015,0.57,0.51,0.3,0.83,0.33,0.65,0.23,0.12,0.29
104.0,University of Helsinki,53.9,37.5,48.1,79.0,31.5,49.7,23505.0,0.15,0.06,2015,0.57,0.4,0.49,0.79,0.32,0.5,0.19,0.21,0.1
105.0,University of Warwick,53.9,41.1,45.8,68.2,35.6,85.7,18529.0,0.17,0.37,2015,0.57,0.44,0.46,0.68,0.36,0.87,0.15,0.24,0.59
106.0,University of Zurich,53.9,40.2,33.1,81.4,40.1,86.9,26583.0,0.06,0.19,2015,0.57,0.43,0.34,0.81,0.4,0.88,0.22,0.08,0.3
107.0,Queen Mary University of London,53.8,32.4,32.9,88.9,37.1,88.6,14260.0,0.14,0.4,2015,0.57,0.35,0.33,0.89,0.37,0.9,0.12,0.19,0.63
108.0,University of Geneva,53.8,34.5,37.2,78.2,65.1,96.8,15668.0,0.15,0.39,2015,0.57,0.37,0.38,0.78,0.65,0.98,0.13,0.21,0.62
109.0,"University of California, Santa Cruz",53.7,30.6,31.9,100.0,33.8,54.6,17404.0,0.23,0.01,2015,0.57,0.33,0.32,1.0,0.34,0.55,0.14,0.32,0.02
110.0,University of New South Wales,53.7,41.1,51.9,61.1,47.8,83.5,38309.0,0.26,0.33,2015,0.57,0.44,0.53,0.61,0.48,0.85,0.32,0.36,0.52
111.0,University of St Andrews,53.6,35.7,35.9,81.4,39.8,90.5,8338.0,0.13,0.47,2015,0.57,0.38,0.36,0.81,0.4,0.92,0.07,0.18,0.75
112.0,University of Sussex,53.6,31.9,30.4,92.8,31.2,83.6,12001.0,0.17,0.35,2015,0.57,0.34,0.31,0.93,0.31,0.85,0.1,0.24,0.56
113.0,University of Montreal,53.4,43.8,44.4,62.9,91.8,76.7,38264.0,0.2,0.25,2015,0.57,0.47,0.45,0.63,0.92,0.78,0.32,0.28,0.4
114.0,University of Tübingen,53.4,41.5,44.7,74.0,54.7,53.0,28327.0,0.39,0.12,2015,0.57,0.45,0.45,0.74,0.55,0.54,0.23,0.54,0.19
115.0,University of York,53.4,32.2,33.8,90.5,32.2,75.0,23638.58,0.19,0.16,2015,0.57,0.35,0.34,0.9,0.32,0.76,0.2,0.26,0.25
116.0,Case Western Reserve University,53.2,46.5,37.4,82.9,51.19,34.4,9259.0,0.06,0.17,2015,0.56,0.5,0.38,0.83,0.51,0.35,0.08,0.08,0.27
117.0,University of Groningen,53.1,36.9,50.8,68.1,88.9,56.1,24556.0,0.26,0.12,2015,0.56,0.4,0.52,0.68,0.89,0.57,0.2,0.36,0.19
118.0,"Royal Holloway, University of London",53.0,29.1,22.4,98.9,32.8,94.4,8747.0,0.16,0.37,2015,0.56,0.31,0.23,0.99,0.33,0.96,0.07,0.22,0.59
119.0,Lund University,52.9,32.6,48.5,74.9,32.6,70.1,28251.0,0.12,0.15,2015,0.56,0.35,0.49,0.75,0.33,0.71,0.23,0.17,0.24
120.0,Paris-Sud University,52.8,37.3,33.1,87.7,28.9,62.7,27603.0,0.15,0.17,2015,0.56,0.4,0.34,0.88,0.29,0.63,0.23,0.21,0.27
121.0,Technical University of Denmark,52.7,39.9,28.2,79.6,98.6,79.7,9990.0,0.05,0.18,2015,0.56,0.43,0.29,0.8,0.99,0.81,0.08,0.07,0.29
122.0,University of Rochester,52.7,41.9,29.2,87.7,36.4,55.5,9390.0,0.04,0.26,2015,0.56,0.45,0.3,0.88,0.36,0.56,0.08,0.06,0.41
123.0,University of Sheffield,52.7,40.0,39.1,74.3,43.8,74.8,23311.0,0.16,0.31,2015,0.56,0.43,0.4,0.74,0.44,0.76,0.19,0.22,0.49
124.0,University of Alberta,52.6,43.8,47.1,61.8,51.8,73.4,36299.0,0.22,0.23,2015,0.56,0.47,0.48,0.62,0.52,0.74,0.3,0.31,0.37
125.0,University of Cape Town,52.6,26.8,35.3,86.6,88.0,76.7,20040.0,0.12,0.18,2015,0.56,0.29,0.36,0.87,0.88,0.78,0.17,0.17,0.29
126.0,Boston College,52.5,32.4,29.1,95.9,46.5,54.6,13216.0,0.17,0.19,2015,0.56,0.35,0.3,0.96,0.46,0.55,0.11,0.24,0.3
127.0,KTH Royal Institute of Technology,52.5,45.7,44.8,55.1,100.0,84.0,12062.0,0.15,0.21,2015,0.56,0.49,0.45,0.55,1.0,0.85,0.1,0.21,0.33
128.0,University of Florida,52.5,49.8,52.1,62.2,51.19,32.2,50095.0,0.19,0.09,2015,0.56,0.54,0.53,0.62,0.51,0.33,0.41,0.26,0.14
129.0,Chinese University of Hong Kong,52.4,43.9,53.5,57.8,42.8,64.0,17916.0,0.1,0.22,2015,0.56,0.47,0.54,0.58,0.43,0.65,0.15,0.14,0.35
130.0,University of Virginia,52.1,48.7,35.9,76.9,49.8,31.8,23845.0,0.1,0.12,2015,0.55,0.52,0.36,0.77,0.5,0.32,0.2,0.14,0.19
131.0,Lancaster University,52.0,35.4,36.1,78.0,34.1,84.7,11512.0,0.15,0.33,2015,0.55,0.38,0.37,0.78,0.34,0.86,0.1,0.21,0.52
132.0,University of Bern,51.9,42.0,36.9,70.1,47.4,80.7,14708.0,0.22,0.14,2015,0.55,0.45,0.37,0.7,0.47,0.82,0.12,0.31,0.22
