rank,name,number_students,student_staff_ratio,intl_students,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,year,overall_score_n,teaching_score_n,research_score_n,citations_score_n,industry_income_score_n,international_outlook_score_n,number_students_n,student_staff_ratio_n,intl_students_n,strategy_year,strategy_year_n,rank_n
306.0,Boston College,12943.0,0.16,0.12,48.51,37.0,20.0,74.1,43.8,53.8,2018,0.51,0.41,0.2,0.74,0.44,0.54,0.01,0.02,0.14,2015,3,0.13
398.0,York University,46146.0,0.41,0.23,45.52,30.5,40.9,47.9,37.2,73.9,2018,0.48,0.34,0.41,0.48,0.37,0.74,0.03,0.05,0.27,2019,-1,0.17
159.0,University of Leicester,14635.0,0.14,0.38,55.0,32.2,34.5,91.4,35.2,89.9,2018,0.58,0.36,0.35,0.91,0.35,0.9,0.01,0.02,0.45,2016,2,0.07
42.0,McGill University,30940.0,0.13,0.26,73.2,63.4,70.8,84.7,39.8,87.5,2018,0.78,0.7,0.71,0.85,0.4,0.88,0.02,0.02,0.31,2020,-2,0.02
227.0,University of Newcastle,23838.0,0.23,0.18,50.82,29.3,28.5,73.5,63.7,79.8,2017,0.53,0.31,0.29,0.74,0.64,0.8,0.02,0.04,0.21,2021,-4,0.1
280.0,University of Ottawa,34946.0,0.25,0.15,48.33,38.1,21.0,67.5,41.5,71.8,2017,0.51,0.4,0.21,0.68,0.42,0.72,0.02,0.04,0.18,2021,-4,0.12
130.0,University of Birmingham,26360.0,0.17,0.25,57.6,38.6,42.4,86.8,38.0,84.2,2017,0.61,0.4,0.43,0.87,0.38,0.84,0.02,0.03,0.3,2023,-6,0.06
96.0,Durham University,15705.0,0.15,0.26,60.6,43.0,49.0,85.0,37.4,87.0,2017,0.64,0.45,0.49,0.85,0.37,0.87,0.01,0.03,0.31,2020,-3,0.04
467.0,University of Portsmouth,18950.0,0.16,0.25,42.26,16.7,13.2,61.8,32.6,82.4,2017,0.44,0.17,0.13,0.62,0.33,0.82,0.01,0.03,0.3,2021,-4,0.2
603.0,Auburn University,22282.0,0.18,0.05,39.23,31.7,18.3,24.2,40.0,30.9,2017,0.41,0.33,0.18,0.24,0.4,0.31,0.02,0.03,0.06,2019,-2,0.26
211.0,University College Dublin,21438.0,0.23,0.25,51.69,31.5,37.8,72.5,37.4,88.1,2017,0.54,0.33,0.38,0.72,0.37,0.88,0.02,0.04,0.3,2020,-3,0.09
285.0,University of South Australia,19996.0,0.3,0.33,48.12,29.9,29.9,58.4,82.9,90.1,2017,0.51,0.31,0.3,0.58,0.83,0.9,0.01,0.05,0.39,2015,2,0.12
374.0,La Trobe University,22422.0,0.3,0.25,44.9,26.7,29.7,49.0,45.5,78.7,2017,0.47,0.28,0.3,0.49,0.46,0.79,0.02,0.05,0.3,2015,2,0.16
148.0,University of Nottingham,29740.0,0.15,0.28,55.5,41.0,41.3,78.9,39.8,81.6,2017,0.58,0.43,0.42,0.79,0.4,0.82,0.02,0.03,0.33,2021,-4,0.06
300.0,Aberystwyth University,8735.0,0.17,0.18,47.51,20.5,21.3,77.5,34.9,75.1,2017,0.5,0.21,0.21,0.78,0.35,0.75,0.01,0.03,0.21,2021,-4,0.13
27.0,University of Edinburgh,25280.0,0.12,0.37,79.2,67.5,74.7,96.0,35.0,91.5,2017,0.83,0.71,0.75,0.96,0.35,0.92,0.02,0.02,0.44,2017,0,0.01
582.0,Ulster University,17660.0,0.14,0.07,39.65,18.7,15.3,49.5,33.1,70.7,2017,0.42,0.2,0.15,0.5,0.33,0.71,0.01,0.02,0.08,2020,-3,0.25
166.0,University of Auckland,30287.0,0.19,0.29,53.4,32.8,40.8,75.8,70.5,90.5,2017,0.56,0.34,0.41,0.76,0.7,0.91,0.02,0.03,0.35,2018,-1,0.07
317.0,University of Georgia,33241.0,0.2,0.07,46.86,33.0,35.0,57.2,34.9,41.7,2017,0.49,0.35,0.35,0.57,0.35,0.42,0.02,0.03,0.08,2020,-3,0.14
208.0,Boston College,12932.0,0.16,0.19,51.86,47.3,19.3,79.9,43.8,60.2,2017,0.55,0.5,0.19,0.8,0.44,0.6,0.01,0.03,0.23,2015,2,0.09
349.0,York University,46565.0,0.41,0.22,45.72,29.9,39.7,50.7,37.4,73.5,2017,0.48,0.31,0.4,0.51,0.37,0.74,0.03,0.07,0.26,2019,-2,0.15
173.0,University of Leicester,14180.0,0.12,0.36,53.0,30.9,32.4,88.4,35.1,87.6,2017,0.56,0.32,0.33,0.88,0.35,0.88,0.01,0.02,0.43,2016,1,0.07
42.0,McGill University,30911.0,0.14,0.24,73.1,66.4,70.3,81.8,41.9,86.4,2017,0.77,0.7,0.71,0.82,0.42,0.86,0.02,0.02,0.29,2020,-3,0.02
280.0,University of Newcastle,23508.0,0.22,0.18,46.26,27.4,26.5,67.2,64.4,75.9,2016,0.49,0.29,0.27,0.67,0.64,0.76,0.06,0.13,0.22,2021,-5,0.12
230.0,University of Ottawa,36733.0,0.26,0.15,48.68,37.1,36.7,61.5,41.5,69.9,2016,0.51,0.39,0.37,0.62,0.42,0.7,0.1,0.16,0.18,2021,-5,0.1
120.0,University of Birmingham,25295.0,0.16,0.23,56.2,39.4,41.8,82.7,34.7,82.0,2016,0.59,0.41,0.42,0.83,0.35,0.82,0.07,0.1,0.28,2023,-7,0.05
70.0,Durham University,15489.0,0.16,0.24,63.6,47.9,51.9,87.7,34.4,86.4,2016,0.67,0.5,0.52,0.88,0.34,0.86,0.04,0.1,0.29,2020,-4,0.03
473.0,University of Portsmouth,20161.0,0.19,0.23,39.79,17.2,10.9,58.2,28.9,79.3,2016,0.42,0.18,0.11,0.58,0.29,0.79,0.05,0.12,0.28,2021,-5,0.2
505.0,Auburn University,22386.0,0.18,0.04,38.98,30.2,19.4,21.0,37.2,27.9,2016,0.41,0.32,0.2,0.21,0.37,0.28,0.06,0.11,0.05,2019,-3,0.22
177.0,University College Dublin,22193.0,0.24,0.23,50.6,35.0,38.5,70.8,33.5,86.3,2016,0.53,0.37,0.39,0.71,0.34,0.86,0.06,0.15,0.28,2020,-4,0.08
383.0,University of South Australia,18971.0,0.26,0.32,42.39,26.4,26.7,41.2,85.9,89.0,2016,0.45,0.28,0.27,0.41,0.86,0.89,0.05,0.16,0.39,2015,1,0.16
367.0,La Trobe University,22037.0,0.29,0.27,42.92,27.0,28.5,45.4,43.7,78.0,2016,0.45,0.28,0.29,0.45,0.44,0.78,0.06,0.18,0.33,2015,1,0.16
144.0,University of Nottingham,30144.0,0.15,0.27,54.1,40.3,39.0,77.5,39.8,80.6,2016,0.57,0.42,0.39,0.78,0.4,0.81,0.08,0.09,0.33,2021,-5,0.06
303.0,Aberystwyth University,9252.0,0.19,0.18,45.28,21.6,18.9,67.2,31.3,72.2,2016,0.48,0.23,0.19,0.67,0.31,0.72,0.02,0.12,0.22,2021,-5,0.13
24.0,University of Edinburgh,25774.0,0.14,0.36,80.3,68.6,77.2,96.3,36.1,89.8,2016,0.84,0.72,0.78,0.96,0.36,0.9,0.07,0.09,0.44,2017,-1,0.01
492.0,Ulster University,19622.0,0.16,0.15,39.31,19.1,13.2,44.1,29.2,79.0,2016,0.41,0.2,0.13,0.44,0.29,0.79,0.05,0.1,0.18,2020,-4,0.21
173.0,University of Auckland,29787.0,0.19,0.28,51.0,31.4,39.5,69.8,78.0,90.5,2016,0.54,0.33,0.4,0.7,0.78,0.91,0.08,0.12,0.34,2018,-2,0.07
265.0,University of Georgia,33119.0,0.2,0.07,46.94,41.1,30.5,52.2,30.9,39.2,2016,0.49,0.43,0.31,0.52,0.31,0.39,0.09,0.12,0.09,2020,-4,0.11
308.0,University of Cincinnati,36108.0,0.16,0.06,45.08,31.3,20.4,72.1,35.3,28.3,2016,0.47,0.33,0.21,0.72,0.35,0.28,0.1,0.1,0.07,2017,-1,0.13
191.0,Boston College,13216.0,0.17,0.19,49.6,34.1,29.3,83.3,46.8,60.0,2016,0.52,0.36,0.3,0.83,0.47,0.6,0.03,0.1,0.23,2015,1,0.08
350.0,York University,48007.0,0.39,0.09,43.51,30.2,30.8,49.1,33.2,58.2,2016,0.46,0.32,0.31,0.49,0.33,0.58,0.13,0.24,0.11,2019,-3,0.15
168.0,University of Leicester,14541.0,0.13,0.35,51.1,32.1,27.8,86.0,31.7,86.6,2016,0.54,0.34,0.28,0.86,0.32,0.87,0.04,0.08,0.43,2016,0,0.07
38.0,McGill University,31326.0,0.14,0.23,72.6,66.1,72.1,78.9,40.3,85.5,2016,0.76,0.69,0.73,0.79,0.4,0.86,0.08,0.09,0.28,2020,-4,0.02
266.0,University of Newcastle,23508.0,0.22,0.18,42.99,26.5,29.9,57.5,75.6,70.6,2015,0.46,0.29,0.3,0.57,0.76,0.71,0.19,0.31,0.29,2021,-6,0.11
190.0,University of Ottawa,36733.0,0.26,0.15,46.6,37.9,34.7,62.9,45.9,63.2,2015,0.49,0.41,0.35,0.63,0.46,0.64,0.3,0.36,0.24,2021,-6,0.08
149.0,University of Birmingham,25295.0,0.16,0.23,50.2,42.8,39.8,62.7,36.0,75.8,2015,0.53,0.46,0.4,0.63,0.36,0.77,0.21,0.22,0.37,2023,-8,0.06
83.0,Durham University,15489.0,0.16,0.24,56.9,37.2,40.7,88.9,34.8,80.4,2015,0.6,0.4,0.41,0.89,0.35,0.81,0.13,0.22,0.38,2020,-5,0.04
390.0,University of Portsmouth,20161.0,0.19,0.23,38.15,16.1,10.6,61.6,29.2,73.3,2015,0.4,0.17,0.11,0.62,0.29,0.74,0.17,0.26,0.37,2021,-6,0.17
240.0,University College Dublin,22193.0,0.24,0.23,44.29,31.7,28.1,61.7,33.8,79.4,2015,0.47,0.34,0.28,0.62,0.34,0.8,0.18,0.33,0.37,2020,-5,0.1
299.0,University of South Australia,18971.0,0.26,0.32,41.51,25.7,24.0,52.7,83.9,80.8,2015,0.44,0.28,0.24,0.53,0.84,0.82,0.16,0.36,0.51,2015,0,0.13
171.0,University of Nottingham,30144.0,0.15,0.27,47.8,39.9,35.8,62.7,39.6,70.6,2015,0.51,0.43,0.36,0.63,0.4,0.71,0.25,0.21,0.43,2021,-6,0.07
353.0,Aberystwyth University,9252.0,0.19,0.18,39.41,20.7,20.6,52.2,33.0,66.5,2015,0.42,0.22,0.21,0.52,0.33,0.67,0.08,0.26,0.29,2021,-6,0.15
36.0,University of Edinburgh,25774.0,0.14,0.36,70.4,58.9,62.9,88.3,41.2,84.3,2015,0.75,0.63,0.64,0.88,0.41,0.85,0.21,0.19,0.57,2017,-2,0.02
175.0,University of Auckland,29787.0,0.19,0.28,47.5,28.6,33.4,68.4,74.2,87.3,2015,0.5,0.31,0.34,0.68,0.74,0.88,0.25,0.26,0.44,2018,-3,0.07
295.0,University of Georgia,33119.0,0.2,0.07,41.68,39.7,28.9,46.6,31.1,35.3,2015,0.44,0.43,0.29,0.47,0.31,0.36,0.27,0.28,0.11,2020,-5,0.13
292.0,University of Cincinnati,36108.0,0.16,0.06,41.81,32.0,22.4,67.8,35.6,26.0,2015,0.44,0.34,0.23,0.68,0.36,0.26,0.3,0.22,0.1,2017,-2,0.12
126.0,Boston College,13216.0,0.17,0.19,52.5,32.4,29.1,95.9,46.5,54.6,2015,0.56,0.35,0.3,0.96,0.46,0.55,0.11,0.24,0.3,2015,0,0.05
250.0,York University,48007.0,0.39,0.09,43.77,27.5,35.3,62.9,34.1,59.7,2015,0.46,0.3,0.36,0.63,0.34,0.6,0.4,0.54,0.14,2019,-4,0.11
199.0,University of Leicester,14541.0,0.13,0.35,45.7,29.8,31.6,67.1,34.8,83.9,2015,0.48,0.32,0.32,0.67,0.35,0.85,0.12,0.18,0.56,2016,-1,0.08
39.0,McGill University,31326.0,0.14,0.23,69.6,63.3,69.9,76.0,38.6,79.0,2015,0.74,0.68,0.71,0.76,0.39,0.8,0.26,0.19,0.37,2020,-5,0.02
271.0,University of Newcastle,23508.0,0.22,0.18,40.8,21.2,28.2,58.0,74.2,70.5,2014,0.43,0.22,0.29,0.58,0.74,0.72,0.19,0.31,0.33,2021,-7,0.12
187.0,University of Ottawa,36733.0,0.26,0.15,45.3,36.5,34.8,60.6,41.6,62.4,2014,0.48,0.38,0.35,0.61,0.42,0.64,0.3,0.36,0.28,2021,-7,0.08
153.0,University of Birmingham,25295.0,0.16,0.23,48.3,42.8,39.6,57.5,36.7,72.2,2014,0.51,0.45,0.4,0.57,0.37,0.74,0.21,0.22,0.43,2023,-9,0.07
80.0,Durham University,15489.0,0.16,0.24,56.1,38.3,38.3,88.2,35.3,76.8,2014,0.59,0.4,0.39,0.88,0.35,0.78,0.13,0.22,0.44,2020,-6,0.03
392.0,University of Portsmouth,20161.0,0.19,0.23,35.94,13.7,11.8,56.3,29.1,73.3,2014,0.38,0.14,0.12,0.56,0.29,0.75,0.17,0.26,0.43,2021,-7,0.17
161.0,University College Dublin,22193.0,0.24,0.23,46.7,27.1,29.0,77.0,33.1,79.6,2014,0.49,0.28,0.29,0.77,0.33,0.81,0.18,0.33,0.43,2020,-6,0.07
343.0,University of South Australia,18971.0,0.26,0.32,37.7,22.5,21.8,40.2,83.2,80.0,2014,0.4,0.24,0.22,0.4,0.83,0.81,0.16,0.36,0.59,2015,-1,0.15
158.0,University of Nottingham,30144.0,0.15,0.27,47.4,38.4,36.3,62.3,39.2,70.3,2014,0.5,0.4,0.37,0.62,0.39,0.72,0.25,0.21,0.5,2021,-7,0.07
303.0,Aberystwyth University,9252.0,0.19,0.18,39.33,19.3,17.6,57.5,32.8,65.5,2014,0.41,0.2,0.18,0.57,0.33,0.67,0.08,0.26,0.33,2021,-7,0.13
39.0,University of Edinburgh,25774.0,0.14,0.36,67.5,56.6,56.9,87.6,42.5,81.5,2014,0.71,0.59,0.58,0.88,0.42,0.83,0.21,0.19,0.67,2017,-3,0.02
167.0,University of Auckland,29787.0,0.19,0.28,46.6,26.7,33.5,67.0,74.5,88.0,2014,0.49,0.28,0.34,0.67,0.74,0.9,0.25,0.26,0.52,2018,-4,0.07
291.0,University of Georgia,33119.0,0.2,0.07,39.86,39.6,28.9,46.1,30.7,35.0,2014,0.42,0.42,0.29,0.46,0.31,0.36,0.27,0.28,0.13,2020,-6,0.12
239.0,University of Cincinnati,36108.0,0.16,0.06,42.45,31.8,22.3,69.3,36.5,25.4,2014,0.45,0.33,0.23,0.69,0.36,0.26,0.3,0.22,0.11,2017,-3,0.1
135.0,Boston College,13216.0,0.17,0.19,50.0,26.3,26.4,96.2,49.4,54.4,2014,0.53,0.28,0.27,0.96,0.49,0.55,0.11,0.24,0.35,2015,-1,0.06
300.0,York University,48007.0,0.39,0.09,39.46,24.2,28.1,55.5,36.2,55.3,2014,0.42,0.25,0.29,0.56,0.36,0.56,0.4,0.54,0.17,2019,-5,0.13
163.0,University of Leicester,14541.0,0.13,0.35,46.7,32.5,32.9,66.9,33.7,81.6,2014,0.49,0.34,0.33,0.67,0.34,0.83,0.12,0.18,0.65,2016,-2,0.07
35.0,McGill University,31326.0,0.14,0.23,68.1,61.5,68.1,74.5,40.8,77.8,2014,0.72,0.65,0.69,0.74,0.41,0.79,0.26,0.19,0.43,2020,-6,0.01
296.0,University of Newcastle,23508.0,0.22,0.18,43.47,21.1,29.0,49.8,72.9,70.5,2013,0.46,0.22,0.29,0.5,0.73,0.71,0.17,0.31,0.33,2021,-8,0.13
173.0,University of Ottawa,36733.0,0.26,0.15,49.0,40.8,41.4,63.1,43.0,58.1,2013,0.51,0.42,0.42,0.63,0.43,0.59,0.27,0.36,0.28,2021,-8,0.07
159.0,University of Birmingham,25295.0,0.16,0.23,50.5,44.8,46.7,56.3,38.4,69.7,2013,0.53,0.47,0.47,0.56,0.38,0.71,0.18,0.22,0.43,2023,-10,0.07
80.0,Durham University,15489.0,0.16,0.24,60.7,42.3,44.5,93.3,34.3,77.7,2013,0.64,0.44,0.45,0.93,0.34,0.79,0.11,0.22,0.44,2020,-7,0.03
339.0,University of Portsmouth,20161.0,0.19,0.23,41.68,12.8,10.5,72.3,29.2,70.2,2013,0.44,0.13,0.11,0.72,0.29,0.71,0.15,0.26,0.43,2021,-8,0.14
187.0,University College Dublin,22193.0,0.24,0.23,47.9,31.1,31.8,74.9,35.3,76.5,2013,0.5,0.32,0.32,0.75,0.35,0.77,0.16,0.33,0.43,2020,-7,0.08
340.0,University of South Australia,18971.0,0.26,0.32,41.65,28.4,25.0,34.1,83.7,81.0,2013,0.44,0.29,0.25,0.34,0.84,0.82,0.14,0.36,0.59,2015,-2,0.15
120.0,University of Nottingham,30144.0,0.15,0.27,54.8,48.1,50.8,62.8,38.3,70.1,2013,0.57,0.5,0.51,0.63,0.38,0.71,0.22,0.21,0.5,2021,-8,0.05
276.0,Aberystwyth University,9252.0,0.19,0.18,44.39,23.8,21.7,64.3,34.9,63.1,2013,0.46,0.25,0.22,0.64,0.35,0.64,0.07,0.26,0.33,2021,-8,0.12
32.0,University of Edinburgh,25774.0,0.14,0.36,76.1,68.4,71.3,90.8,43.8,78.9,2013,0.8,0.71,0.72,0.91,0.44,0.8,0.19,0.19,0.67,2017,-4,0.01
161.0,University of Auckland,29787.0,0.19,0.28,50.3,34.0,40.9,64.2,76.6,88.0,2013,0.53,0.35,0.41,0.64,0.77,0.89,0.22,0.26,0.52,2018,-5,0.07
218.0,University of Georgia,33119.0,0.2,0.07,47.5,45.4,40.1,46.8,31.3,36.2,2013,0.5,0.47,0.4,0.47,0.31,0.37,0.24,0.28,0.13,2020,-7,0.09
243.0,University of Cincinnati,36108.0,0.16,0.06,46.07,34.9,26.5,69.5,35.8,23.9,2013,0.48,0.36,0.27,0.7,0.36,0.24,0.26,0.22,0.11,2017,-4,0.1
150.0,Boston College,13216.0,0.17,0.19,51.6,34.5,33.2,88.7,50.23,52.4,2013,0.54,0.36,0.33,0.89,0.5,0.53,0.1,0.24,0.35,2015,-2,0.06
349.0,York University,48007.0,0.39,0.09,41.3,20.9,30.1,50.5,41.9,50.7,2013,0.43,0.22,0.3,0.5,0.42,0.51,0.35,0.54,0.17,2019,-6,0.15
196.0,University of Leicester,14541.0,0.13,0.35,46.7,33.0,32.5,66.5,34.9,83.7,2013,0.49,0.34,0.33,0.66,0.35,0.85,0.11,0.18,0.65,2016,-3,0.08
34.0,McGill University,31326.0,0.14,0.23,75.7,74.4,80.4,75.2,40.3,75.9,2013,0.79,0.77,0.81,0.75,0.4,0.77,0.23,0.19,0.43,2020,-7,0.01
298.0,University of Newcastle,23508.0,0.22,0.18,38.08,18.2,27.1,35.8,64.8,76.3,2012,0.4,0.19,0.27,0.36,0.65,0.77,0.18,0.31,0.33,2021,-9,0.13
185.0,University of Ottawa,36733.0,0.26,0.15,43.2,38.9,34.8,54.8,36.9,49.6,2012,0.46,0.41,0.35,0.55,0.37,0.5,0.29,0.36,0.28,2021,-9,0.08
148.0,University of Birmingham,25295.0,0.16,0.23,46.9,42.6,42.6,50.6,36.0,70.3,2012,0.49,0.44,0.43,0.51,0.36,0.71,0.2,0.22,0.43,2023,-11,0.06
83.0,Durham University,15489.0,0.16,0.24,56.4,32.5,37.9,96.2,30.5,75.8,2012,0.59,0.34,0.38,0.96,0.3,0.77,0.12,0.22,0.44,2020,-8,0.04
353.0,Auburn University,22386.0,0.18,0.04,35.65,33.7,18.7,10.3,47.3,22.5,2012,0.38,0.35,0.19,0.1,0.47,0.23,0.18,0.25,0.07,2019,-7,0.15
160.0,University College Dublin,22193.0,0.24,0.23,45.9,25.2,23.7,80.5,32.3,83.2,2012,0.48,0.26,0.24,0.8,0.32,0.84,0.17,0.33,0.43,2020,-8,0.07
394.0,University of South Australia,18971.0,0.26,0.32,34.08,20.6,18.0,19.4,87.7,81.8,2012,0.36,0.22,0.18,0.19,0.88,0.83,0.15,0.36,0.59,2015,-3,0.17
366.0,La Trobe University,22037.0,0.29,0.27,35.13,19.0,19.5,13.6,28.9,71.3,2012,0.37,0.2,0.2,0.14,0.29,0.72,0.17,0.4,0.5,2015,-3,0.16
140.0,University of Nottingham,30144.0,0.15,0.27,47.7,40.2,40.0,57.6,36.7,72.6,2012,0.5,0.42,0.4,0.58,0.37,0.73,0.24,0.21,0.5,2021,-9,0.06
277.0,Aberystwyth University,9252.0,0.19,0.18,39.13,19.8,15.5,56.6,35.5,63.8,2012,0.41,0.21,0.16,0.57,0.36,0.65,0.07,0.26,0.33,2021,-9,0.12
36.0,University of Edinburgh,25774.0,0.14,0.36,72.0,63.0,61.4,92.3,41.3,79.8,2012,0.76,0.66,0.62,0.92,0.41,0.81,0.2,0.19,0.67,2017,-5,0.02
174.0,University of Auckland,29787.0,0.19,0.28,44.6,28.3,35.0,55.7,76.6,92.9,2012,0.47,0.3,0.35,0.56,0.77,0.94,0.23,0.26,0.52,2018,-6,0.07
217.0,University of Georgia,33119.0,0.2,0.07,42.63,44.4,36.4,37.3,27.7,30.6,2012,0.45,0.46,0.37,0.37,0.28,0.31,0.26,0.28,0.13,2020,-8,0.09
215.0,University of Cincinnati,36108.0,0.16,0.06,42.76,29.0,24.9,69.0,32.9,20.6,2012,0.45,0.3,0.25,0.69,0.33,0.21,0.28,0.22,0.11,2017,-5,0.09
195.0,Boston College,13216.0,0.17,0.19,42.4,26.5,18.9,83.5,24.2,41.4,2012,0.45,0.28,0.19,0.84,0.24,0.42,0.1,0.24,0.35,2015,-3,0.08
301.0,York University,48007.0,0.39,0.09,37.94,19.9,27.7,41.2,41.7,57.7,2012,0.4,0.21,0.28,0.41,0.42,0.58,0.38,0.54,0.17,2019,-7,0.13
199.0,University of Leicester,14541.0,0.13,0.35,41.5,27.6,30.3,56.3,34.4,84.9,2012,0.44,0.29,0.3,0.56,0.34,0.86,0.11,0.18,0.65,2016,-4,0.08
28.0,McGill University,31326.0,0.14,0.23,75.5,72.8,78.4,77.1,35.1,81.4,2012,0.8,0.76,0.79,0.77,0.35,0.82,0.25,0.19,0.43,2020,-8,0.01
146.0,University of Birmingham,25295.0,0.16,0.23,51.8,50.3,50.7,52.1,34.8,73.8,2011,0.54,0.5,0.51,0.52,0.35,0.74,0.2,0.23,0.43,2023,-12,0.06
85.0,Durham University,15489.0,0.16,0.24,58.9,39.8,44.1,91.0,33.9,65.7,2011,0.61,0.4,0.44,0.91,0.34,0.66,0.12,0.23,0.44,2020,-9,0.04
94.0,University College Dublin,22193.0,0.24,0.23,57.5,42.4,36.6,86.3,51.73,87.0,2011,0.6,0.43,0.37,0.86,0.52,0.87,0.17,0.34,0.43,2020,-9,0.04
176.0,University of Nottingham,30144.0,0.15,0.27,49.0,46.8,44.1,52.5,38.4,74.8,2011,0.51,0.47,0.44,0.53,0.38,0.75,0.24,0.21,0.5,2021,-10,0.08
40.0,University of Edinburgh,25774.0,0.14,0.36,69.2,59.9,61.9,86.8,42.2,67.3,2011,0.72,0.6,0.62,0.87,0.42,0.67,0.2,0.2,0.67,2017,-6,0.02
145.0,University of Auckland,29787.0,0.19,0.28,51.8,34.8,39.2,71.8,61.1,94.3,2011,0.54,0.35,0.39,0.72,0.61,0.94,0.23,0.27,0.52,2018,-7,0.06
191.0,University of Cincinnati,36108.0,0.16,0.06,46.9,43.6,40.4,61.5,32.5,18.9,2011,0.49,0.44,0.41,0.62,0.32,0.19,0.28,0.23,0.11,2017,-6,0.08
162.0,Boston College,13216.0,0.17,0.19,50.3,40.1,33.6,78.0,51.73,31.6,2011,0.52,0.4,0.34,0.78,0.52,0.32,0.1,0.24,0.35,2015,-4,0.07
35.0,McGill University,31326.0,0.14,0.23,71.7,69.0,74.9,69.0,51.73,85.9,2011,0.75,0.69,0.75,0.69,0.52,0.86,0.25,0.2,0.43,2020,-9,0.01
